stock_code,stock_name,market,report_type,report_year,first_appointment_date,first_change_date,second_change_date,third_change_date,actual_disclosure_date,stat_date
002107,沃华医药,深市,半年报（中报）,2026,2026-07-16,,,,,2026-07-16
002998,优彩资源,深市,半年报（中报）,2026,2026-07-16,,,,,2026-07-16
001339,智微智能,深市,半年报（中报）,2026,2026-07-18,,,,,2026-07-18
688146,中船特气,沪市,半年报（中报）,2026,2026-07-18,,,,,2026-07-18
300503,昊志机电,深市,半年报（中报）,2026,2026-07-21,,,,,2026-07-21
603162,海通发展,沪市,半年报（中报）,2026,2026-07-21,,,,,2026-07-21
002458,益生股份,深市,半年报（中报）,2026,2026-07-23,,,,,2026-07-23
605228,神通科技,沪市,半年报（中报）,2026,2026-07-23,,,,,2026-07-23
688078,龙软科技,沪市,半年报（中报）,2026,2026-07-23,,,,,2026-07-23
300416,苏试试验,深市,半年报（中报）,2026,2026-07-24,,,,,2026-07-24
002415,海康威视,深市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
300409,道氏技术,深市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
300689,澄天伟业,深市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
300708,聚灿光电,深市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
300750,宁德时代,深市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
603727,博迈科,沪市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
688475,萤石网络,沪市,半年报（中报）,2026,2026-07-25,,,,,2026-07-25
000933,神火股份,深市,半年报（中报）,2026,2026-07-28,,,,,2026-07-28
002611,东方精工,深市,半年报（中报）,2026,2026-07-28,,,,,2026-07-28
002848,高斯贝尔,深市,半年报（中报）,2026,2026-07-28,,,,,2026-07-28
300243,瑞丰高材,深市,半年报（中报）,2026,2026-07-28,,,,,2026-07-28
603155,新亚强,沪市,半年报（中报）,2026,2026-07-28,,,,,2026-07-28
002290,禾盛新材,深市,半年报（中报）,2026,2026-07-29,,,,,2026-07-29
301071,力量钻石,深市,半年报（中报）,2026,2026-07-29,,,,,2026-07-29
603339,四方科技,沪市,半年报（中报）,2026,2026-07-29,,,,,2026-07-29
002549,凯美特气,深市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
300671,富满微,深市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
301062,上海艾录,深市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
600663,陆家嘴,沪市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
600711,盛屯矿业,沪市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
600885,宏发股份,沪市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
601168,西部矿业,沪市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
605033,美邦股份,沪市,半年报（中报）,2026,2026-07-30,,,,,2026-07-30
000633,合金投资,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
000683,博源化工,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
000911,*ST广糖,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
001217,华尔泰,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
001359,平安电工,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002136,安纳达,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002138,顺络电子,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002162,悦心健康,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002296,辉煌科技,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002515,金字火腿,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002533,金杯电工,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002592,ST八菱,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002787,华源控股,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
002868,绿康生化,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300209,行云科技,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300222,科大智能,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300422,博世科,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300463,迈克生物,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300508,维宏股份,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
300604,长川科技,深市,半年报（中报）,2026,2026-07-31,2026-08-29,,,,2026-08-29
300685,艾德生物,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
301100,风光股份,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
301237,和顺科技,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
301678,新恒汇,深市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
600110,诺德股份,沪市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
600236,桂冠电力,沪市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
600423,*ST柳化,沪市,半年报（中报）,2026,2026-07-31,,,,,2026-07-31
