date,company_count
2025-07-15,1
2025-07-19,1
2025-07-22,7
2025-07-23,2
2025-07-25,6
2025-07-26,4
2025-07-28,1
2025-07-29,9
2025-07-30,16
2025-07-31,20
2025-08-01,8
2025-08-02,8
2025-08-04,1
2025-08-05,11
2025-08-06,12
2025-08-07,8
2025-08-08,40
2025-08-09,24
2025-08-11,10
2025-08-12,48
2025-08-13,29
2025-08-14,17
2025-08-15,106
2025-08-16,117
2025-08-18,27
2025-08-19,133
2025-08-20,152
2025-08-21,114
2025-08-22,356
2025-08-23,369
2025-08-25,68
2025-08-26,672
2025-08-27,709
2025-08-28,894
2025-08-29,805
2025-08-30,605
